timestamp,mem_mb,fs_init_mb,fs_delta_mb,repeat_idx,pair_idx,operation,elapsed_ms,comment
00:43:37,0,256,0,1,1,RESTORE,114.897,
00:43:47,0,256,0,1,2,SNAPSHOT,54.433,
00:43:57,0,256,0,1,2,RESTORE,116.296,
00:44:07,0,256,0,1,3,SNAPSHOT,54.687,
00:44:17,0,256,0,1,3,RESTORE,112.279,
00:44:27,0,256,0,1,4,SNAPSHOT,52.526,
00:44:37,0,256,0,1,4,RESTORE,114.830,
00:44:48,0,256,0,1,5,SNAPSHOT,55.622,
00:44:58,0,256,0,1,5,RESTORE,114.696,
00:45:03,0,256,0,1,0,CLEANUP,333.476,
00:45:24,0,256,0,2,0,BUILD,20621.395,
00:45:29,0,256,0,2,0,INFO.du,786374669.000,du_B=786374669
00:45:39,0,256,0,2,1,SNAPSHOT,70.034,
00:45:49,0,256,0,2,1,RESTORE,115.918,
00:46:00,0,256,0,2,2,SNAPSHOT,55.086,
00:46:10,0,256,0,2,2,RESTORE,115.118,
00:46:20,0,256,0,2,3,SNAPSHOT,53.121,
00:46:30,0,256,0,2,3,RESTORE,114.549,
00:46:40,0,256,0,2,4,SNAPSHOT,57.016,
00:46:50,0,256,0,2,4,RESTORE,114.289,
00:47:01,0,256,0,2,5,SNAPSHOT,53.897,
00:47:11,0,256,0,2,5,RESTORE,128.094,
00:47:16,0,256,0,2,0,CLEANUP,333.552,
00:47:37,0,256,0,3,0,BUILD,20693.839,
00:47:42,0,256,0,3,0,INFO.du,786380906.000,du_B=786380906
00:47:52,0,256,0,3,1,SNAPSHOT,74.110,
00:48:02,0,256,0,3,1,RESTORE,113.407,
00:48:13,0,256,0,3,2,SNAPSHOT,56.369,
00:48:23,0,256,0,3,2,RESTORE,114.091,
00:48:33,0,256,0,3,3,SNAPSHOT,54.445,
00:48:43,0,256,0,3,3,RESTORE,116.441,
00:48:53,0,256,0,3,4,SNAPSHOT,52.761,
00:49:03,0,256,0,3,4,RESTORE,116.257,
00:49:14,0,256,0,3,5,SNAPSHOT,56.727,
00:49:24,0,256,0,3,5,RESTORE,113.031,
00:49:29,0,256,0,3,0,CLEANUP,340.643,
00:49:55,0,512,0,1,0,BUILD,20715.527,
00:50:00,0,512,0,1,0,INFO.du,1054822654.000,du_B=1054822654
00:50:11,0,512,0,1,1,SNAPSHOT,75.293,
00:50:21,0,512,0,1,1,RESTORE,115.677,
00:50:31,0,512,0,1,2,SNAPSHOT,56.544,
00:50:41,0,512,0,1,2,RESTORE,113.831,
00:50:51,0,512,0,1,3,SNAPSHOT,54.232,
00:51:01,0,512,0,1,3,RESTORE,115.211,
00:51:11,0,512,0,1,4,SNAPSHOT,54.381,
00:51:22,0,512,0,1,4,RESTORE,114.780,
00:51:32,0,512,0,1,5,SNAPSHOT,54.286,
00:51:42,0,512,0,1,5,RESTORE,114.577,
00:51:47,0,512,0,1,0,CLEANUP,368.635,
00:52:08,0,512,0,2,0,BUILD,20759.601,
00:52:14,0,512,0,2,0,INFO.du,1054828893.000,du_B=1054828893
00:52:24,0,512,0,2,1,SNAPSHOT,78.631,
00:52:34,0,512,0,2,1,RESTORE,113.062,
00:52:44,0,512,0,2,2,SNAPSHOT,54.168,
00:52:54,0,512,0,2,2,RESTORE,113.410,
00:53:04,0,512,0,2,3,SNAPSHOT,53.183,
00:53:15,0,512,0,2,3,RESTORE,114.012,
00:53:25,0,512,0,2,4,SNAPSHOT,57.018,
00:53:35,0,512,0,2,4,RESTORE,114.957,
00:53:45,0,512,0,2,5,SNAPSHOT,53.465,
00:53:55,0,512,0,2,5,RESTORE,114.756,
00:54:01,0,512,0,2,0,CLEANUP,354.267,
00:54:21,0,512,0,3,0,BUILD,20562.864,
00:54:27,0,512,0,3,0,INFO.du,1054835132.000,du_B=1054835132
00:54:37,0,512,0,3,1,SNAPSHOT,73.924,
00:54:47,0,512,0,3,1,RESTORE,115.845,
00:54:57,0,512,0,3,2,SNAPSHOT,52.926,
00:55:07,0,512,0,3,2,RESTORE,113.722,
00:55:17,0,512,0,3,3,SNAPSHOT,54.462,
00:55:28,0,512,0,3,3,RESTORE,118.121,
00:55:38,0,512,0,3,4,SNAPSHOT,58.962,
00:55:48,0,512,0,3,4,RESTORE,114.482,
00:55:58,0,512,0,3,5,SNAPSHOT,65.569,
00:56:08,0,512,0,3,5,RESTORE,116.521,
00:56:14,0,512,0,3,0,CLEANUP,360.748,
00:56:39,0,768,0,1,0,BUILD,20364.415,
00:56:45,0,768,0,1,0,INFO.du,1323276882.000,du_B=1323276882
00:56:55,0,768,0,1,1,SNAPSHOT,73.246,
00:57:05,0,768,0,1,1,RESTORE,114.534,
00:57:15,0,768,0,1,2,SNAPSHOT,54.497,
00:57:26,0,768,0,1,2,RESTORE,116.008,
00:57:36,0,768,0,1,3,SNAPSHOT,57.496,
00:57:46,0,768,0,1,3,RESTORE,114.012,
00:57:56,0,768,0,1,4,SNAPSHOT,54.302,
00:58:06,0,768,0,1,4,RESTORE,115.235,
00:58:16,0,768,0,1,5,SNAPSHOT,56.043,
00:58:26,0,768,0,1,5,RESTORE,129.607,
00:58:32,0,768,0,1,0,CLEANUP,390.034,
00:58:52,0,768,0,2,0,BUILD,20512.202,
00:58:58,0,768,0,2,0,INFO.du,1323283121.000,du_B=1323283121
00:59:08,0,768,0,2,1,SNAPSHOT,74.727,
00:59:19,0,768,0,2,1,RESTORE,115.867,
00:59:29,0,768,0,2,2,SNAPSHOT,55.195,
00:59:39,0,768,0,2,2,RESTORE,113.468,
00:59:49,0,768,0,2,3,SNAPSHOT,53.745,
00:59:59,0,768,0,2,3,RESTORE,115.159,
01:00:09,0,768,0,2,4,SNAPSHOT,55.686,
01:00:19,0,768,0,2,4,RESTORE,116.837,
01:00:30,0,768,0,2,5,SNAPSHOT,55.431,
01:00:40,0,768,0,2,5,RESTORE,115.296,
01:00:45,0,768,0,2,0,CLEANUP,384.924,
01:01:07,0,768,0,3,0,BUILD,21546.404,
01:01:13,0,768,0,3,0,INFO.du,1323289360.000,du_B=1323289360
01:01:23,0,768,0,3,1,SNAPSHOT,79.059,
01:01:33,0,768,0,3,1,RESTORE,115.517,
01:01:43,0,768,0,3,2,SNAPSHOT,55.045,
01:01:53,0,768,0,3,2,RESTORE,125.096,
01:02:03,0,768,0,3,3,SNAPSHOT,53.286,
01:02:14,0,768,0,3,3,RESTORE,114.876,
01:02:24,0,768,0,3,4,SNAPSHOT,53.632,
01:02:34,0,768,0,3,4,RESTORE,131.991,
01:02:44,0,768,0,3,5,SNAPSHOT,53.373,
01:02:54,0,768,0,3,5,RESTORE,113.527,
01:03:00,0,768,0,3,0,CLEANUP,380.782,
01:03:25,0,1024,0,1,0,BUILD,20719.969,
01:03:31,0,1024,0,1,0,INFO.du,1591731136.000,du_B=1591731136
01:03:42,0,1024,0,1,1,SNAPSHOT,74.164,
01:03:52,0,1024,0,1,1,RESTORE,114.373,
01:04:02,0,1024,0,1,2,SNAPSHOT,56.351,
01:04:12,0,1024,0,1,2,RESTORE,114.327,
01:04:22,0,1024,0,1,3,SNAPSHOT,56.544,
01:04:32,0,1024,0,1,3,RESTORE,113.887,
01:04:42,0,1024,0,1,4,SNAPSHOT,55.985,
01:04:53,0,1024,0,1,4,RESTORE,114.268,
01:05:03,0,1024,0,1,5,SNAPSHOT,54.321,
01:05:13,0,1024,0,1,5,RESTORE,127.468,
01:05:18,0,1024,0,1,0,CLEANUP,411.189,
01:05:39,0,1024,0,2,0,BUILD,20426.558,
01:05:45,0,1024,0,2,0,INFO.du,1591737413.000,du_B=1591737413
01:05:55,0,1024,0,2,1,SNAPSHOT,78.176,
01:06:05,0,1024,0,2,1,RESTORE,114.062,
01:06:15,0,1024,0,2,2,SNAPSHOT,54.090,
01:06:26,0,1024,0,2,2,RESTORE,113.811,
01:06:36,0,1024,0,2,3,SNAPSHOT,55.399,
01:06:46,0,1024,0,2,3,RESTORE,113.128,
01:06:56,0,1024,0,2,4,SNAPSHOT,56.080,
01:07:06,0,1024,0,2,4,RESTORE,116.580,
01:07:16,0,1024,0,2,5,SNAPSHOT,56.472,
01:07:26,0,1024,0,2,5,RESTORE,112.783,
01:07:32,0,1024,0,2,0,CLEANUP,417.281,
01:07:52,0,1024,0,3,0,BUILD,20512.821,
01:07:59,0,1024,0,3,0,INFO.du,1591743665.000,du_B=1591743665
01:08:09,0,1024,0,3,1,SNAPSHOT,76.504,
01:08:19,0,1024,0,3,1,RESTORE,114.669,
01:08:29,0,1024,0,3,2,SNAPSHOT,55.164,
01:08:39,0,1024,0,3,2,RESTORE,126.368,
01:08:49,0,1024,0,3,3,SNAPSHOT,56.451,
01:08:59,0,1024,0,3,3,RESTORE,114.380,
01:09:10,0,1024,0,3,4,SNAPSHOT,54.692,
01:09:20,0,1024,0,3,4,RESTORE,116.516,
01:09:30,0,1024,0,3,5,SNAPSHOT,52.611,
01:09:40,0,1024,0,3,5,RESTORE,114.305,
01:09:45,0,1024,0,3,0,CLEANUP,411.633,
01:10:11,0,2048,0,1,0,BUILD,20636.663,
01:10:18,0,2048,0,1,0,INFO.du,2665491797.000,du_B=2665491797
01:10:28,0,2048,0,1,1,SNAPSHOT,73.462,
01:10:39,0,2048,0,1,1,RESTORE,114.471,
01:10:49,0,2048,0,1,2,SNAPSHOT,57.231,
